"","W1Q50","COHORT","Bullied","W1Q52","W1Q53"
"386",26,"(3) Older",2,"(5) Out to no one at school","(1) Agree strongly"
"387",30,"(3) Older",4,"(5) Out to no one at school","(2) Agree"
"388",15,"(1) Younger",1,"(1) Out to everyone at school","(1) Agree strongly"
"389",19,"(3) Older",2,"(5) Out to no one at school","(2) Agree"
"390",13,"(1) Younger",2,"(1) Out to everyone at school","(1) Agree strongly"
"391",19,"(3) Older",4,"(5) Out to no one at school","(2) Agree"
"392",NA,"(3) Older",4,"(5) Out to no one at school","(3) Disagree"
"393",34,"(2) Middle",2,"(1) Out to everyone at school","(3) Disagree"
"394",13,"(1) Younger",4,"(2) Out to most people at school","(2) Agree"
"395",17,"(1) Younger",4,"(1) Out to everyone at school","(1) Agree strongly"
"396",21,"(3) Older",2,"(5) Out to no one at school","(2) Agree"
"397",35,"(3) Older",4,"(5) Out to no one at school","(2) Agree"
"398",32,"(3) Older",2,"(5) Out to no one at school","(2) Agree"
"399",NA,"(1) Younger",4,"(4) Out to a few people at school","(3) Disagree"
"400",18,"(3) Older",4,"(5) Out to no one at school","(2) Agree"
"401",17,"(1) Younger",3,"(3) Out to some people at school","(2) Agree"
"402",20,"(3) Older",4,"(5) Out to no one at school","(3) Disagree"
"403",25,"(2) Middle",4,"(5) Out to no one at school","(2) Agree"
"404",21,"(2) Middle",4,"(5) Out to no one at school","(2) Agree"
"405",NA,"(1) Younger",4,"(4) Out to a few people at school","(2) Agree"
"406",17,"(1) Younger",4,"(2) Out to most people at school","(1) Agree strongly"
"407",16,"(1) Younger",4,"(4) Out to a few people at school","(1) Agree strongly"
"408",18,"(2) Middle",4,"(3) Out to some people at school","(2) Agree"
"409",18,"(1) Younger",1,"(5) Out to no one at school","(3) Disagree"
"410",29,"(3) Older",3,"(5) Out to no one at school","(1) Agree strongly"
"411",23,"(3) Older",2,"(5) Out to no one at school","(3) Disagree"
"412",NA,"(1) Younger",4,"(4) Out to a few people at school","(2) Agree"
"413",30,"(3) Older",4,"(5) Out to no one at school","(2) Agree"
"414",24,"(1) Younger",2,"(5) Out to no one at school","(2) Agree"
"415",16,"(1) Younger",4,"(3) Out to some people at school","(1) Agree strongly"
"416",NA,"(2) Middle",4,NA,"(3) Disagree"
"417",15,"(2) Middle",2,"(5) Out to no one at school","(3) Disagree"
"418",19,"(2) Middle",2,"(5) Out to no one at school","(2) Agree"
"419",30,"(3) Older",4,"(5) Out to no one at school","(3) Disagree"
"420",20,"(1) Younger",4,"(5) Out to no one at school","(2) Agree"
"421",23,"(3) Older",4,"(5) Out to no one at school","(4) Disagree strongly"
"422",NA,"(1) Younger",3,"(5) Out to no one at school","(2) Agree"
"423",NA,"(1) Younger",4,"(5) Out to no one at school","(3) Disagree"
"424",24,"(2) Middle",4,"(5) Out to no one at school","(3) Disagree"
"425",16,"(1) Younger",4,"(2) Out to most people at school","(2) Agree"
"426",30,"(2) Middle",1,"(5) Out to no one at school","(4) Disagree strongly"
"427",14,"(1) Younger",4,"(2) Out to most people at school","(1) Agree strongly"
"428",41,"(3) Older",4,"(5) Out to no one at school","(2) Agree"
"429",18,"(1) Younger",3,"(4) Out to a few people at school","(1) Agree strongly"
"430",35,"(3) Older",4,"(5) Out to no one at school","(2) Agree"
"431",50,"(3) Older",4,"(5) Out to no one at school","(3) Disagree"
"432",32,"(3) Older",4,"(5) Out to no one at school","(3) Disagree"
"433",35,"(3) Older",4,"(5) Out to no one at school","(3) Disagree"
"434",NA,"(1) Younger",4,"(5) Out to no one at school","(2) Agree"
"435",NA,"(1) Younger",4,NA,NA
"436",20,"(1) Younger",4,"(5) Out to no one at school","(2) Agree"
"437",16,"(1) Younger",4,"(3) Out to some people at school","(2) Agree"
"438",13,"(1) Younger",4,"(1) Out to everyone at school","(1) Agree strongly"
"439",9,"(1) Younger",1,"(5) Out to no one at school","(1) Agree strongly"
"440",18,"(2) Middle",1,"(5) Out to no one at school","(4) Disagree strongly"
"441",NA,"(1) Younger",4,"(2) Out to most people at school","(2) Agree"
"442",NA,"(3) Older",4,"(5) Out to no one at school","(3) Disagree"
"443",16,"(1) Younger",4,"(4) Out to a few people at school","(2) Agree"
"444",18,"(1) Younger",4,"(3) Out to some people at school","(3) Disagree"
"445",25,"(2) Middle",4,"(5) Out to no one at school","(3) Disagree"
"446",17,"(2) Middle",4,"(4) Out to a few people at school","(4) Disagree strongly"
"447",26,"(3) Older",4,"(5) Out to no one at school","(2) Agree"
"448",NA,"(1) Younger",2,"(5) Out to no one at school","(3) Disagree"
"449",19,"(1) Younger",4,"(4) Out to a few people at school","(2) Agree"
"450",21,"(2) Middle",1,"(5) Out to no one at school","(2) Agree"
"451",NA,"(3) Older",4,"(5) Out to no one at school","(3) Disagree"
"452",12,"(1) Younger",4,"(1) Out to everyone at school","(2) Agree"
"453",15,"(1) Younger",1,"(5) Out to no one at school","(2) Agree"
"454",NA,"(3) Older",4,"(5) Out to no one at school","(2) Agree"
"455",14,"(1) Younger",4,"(1) Out to everyone at school","(1) Agree strongly"
"456",16,"(1) Younger",2,"(2) Out to most people at school","(2) Agree"
"457",23,"(2) Middle",4,"(4) Out to a few people at school","(2) Agree"
"458",35,"(3) Older",2,"(5) Out to no one at school","(3) Disagree"
"459",20,"(1) Younger",4,"(5) Out to no one at school","(3) Disagree"
"460",19,"(2) Middle",4,"(5) Out to no one at school","(2) Agree"
"461",23,"(2) Middle",4,"(4) Out to a few people at school","(4) Disagree strongly"
"462",20,"(2) Middle",4,"(5) Out to no one at school","(1) Agree strongly"
"463",NA,"(1) Younger",4,"(5) Out to no one at school","(3) Disagree"
"464",NA,"(3) Older",1,"(5) Out to no one at school","(3) Disagree"
"465",34,"(2) Middle",4,"(5) Out to no one at school","(4) Disagree strongly"
"466",NA,"(1) Younger",4,"(4) Out to a few people at school","(2) Agree"
"467",17,"(1) Younger",4,"(3) Out to some people at school","(3) Disagree"
"468",17,"(2) Middle",1,"(5) Out to no one at school","(2) Agree"
"469",26,"(3) Older",4,"(5) Out to no one at school","(1) Agree strongly"
"470",18,"(1) Younger",1,"(1) Out to everyone at school","(2) Agree"
"471",33,"(2) Middle",4,"(5) Out to no one at school","(3) Disagree"
"472",18,"(3) Older",1,"(5) Out to no one at school","(2) Agree"
"473",NA,"(1) Younger",3,"(5) Out to no one at school","(2) Agree"
"474",13,"(1) Younger",4,"(5) Out to no one at school","(3) Disagree"
"475",NA,"(1) Younger",1,"(5) Out to no one at school","(2) Agree"
"476",25,"(3) Older",4,"(5) Out to no one at school","(3) Disagree"
"477",22,"(2) Middle",3,"(5) Out to no one at school","(2) Agree"
"478",19,"(3) Older",2,"(5) Out to no one at school","(1) Agree strongly"
"479",25,"(2) Middle",2,"(4) Out to a few people at school","(1) Agree strongly"
"480",18,"(1) Younger",1,"(4) Out to a few people at school","(2) Agree"
"481",27,"(2) Middle",4,"(5) Out to no one at school","(2) Agree"
"482",18,"(2) Middle",4,"(5) Out to no one at school","(3) Disagree"
"483",17,"(1) Younger",4,"(5) Out to no one at school","(2) Agree"
"484",19,"(2) Middle",4,"(4) Out to a few people at school","(3) Disagree"
"485",35,"(3) Older",4,"(5) Out to no one at school","(3) Disagree"
"486",20,"(2) Middle",2,"(5) Out to no one at school","(4) Disagree strongly"
"487",19,"(1) Younger",4,"(5) Out to no one at school","(2) Agree"
"488",13,"(1) Younger",4,"(1) Out to everyone at school","(2) Agree"
"489",NA,"(2) Middle",1,"(5) Out to no one at school","(3) Disagree"
"490",18,"(1) Younger",4,"(5) Out to no one at school","(3) Disagree"
"491",19,"(3) Older",4,"(5) Out to no one at school","(2) Agree"
"492",16,"(1) Younger",4,"(4) Out to a few people at school","(2) Agree"
"493",NA,"(1) Younger",1,"(1) Out to everyone at school","(2) Agree"
"494",16,"(3) Older",4,"(5) Out to no one at school","(2) Agree"
"495",16,"(1) Younger",1,"(3) Out to some people at school","(3) Disagree"
"496",18,"(2) Middle",4,"(5) Out to no one at school","(3) Disagree"
"497",25,"(3) Older",2,"(4) Out to a few people at school","(2) Agree"
"498",16,"(1) Younger",4,"(3) Out to some people at school","(4) Disagree strongly"
"499",21,"(2) Middle",4,"(5) Out to no one at school","(2) Agree"
"500",NA,"(1) Younger",4,"(5) Out to no one at school","(3) Disagree"
"501",21,"(1) Younger",4,"(5) Out to no one at school","(3) Disagree"
"502",NA,"(1) Younger",4,"(5) Out to no one at school","(3) Disagree"
"503",16,"(3) Older",4,"(5) Out to no one at school","(2) Agree"
"504",45,"(3) Older",4,"(5) Out to no one at school","(2) Agree"
"505",NA,"(1) Younger",4,"(5) Out to no one at school","(3) Disagree"
"506",15,"(1) Younger",3,"(2) Out to most people at school","(2) Agree"
"507",33,"(3) Older",4,"(5) Out to no one at school","(2) Agree"
"508",21,"(3) Older",2,"(5) Out to no one at school","(2) Agree"
"509",NA,"(2) Middle",4,"(5) Out to no one at school","(3) Disagree"
"510",20,"(1) Younger",4,"(5) Out to no one at school","(3) Disagree"
"511",18,"(1) Younger",1,"(5) Out to no one at school","(3) Disagree"
"512",31,"(2) Middle",4,"(5) Out to no one at school","(2) Agree"
"513",NA,"(3) Older",4,"(5) Out to no one at school","(2) Agree"
"514",13,"(1) Younger",2,"(2) Out to most people at school","(3) Disagree"
"515",NA,"(3) Older",2,"(5) Out to no one at school","(3) Disagree"
"516",17,"(1) Younger",1,"(5) Out to no one at school","(2) Agree"
"517",NA,"(1) Younger",4,"(5) Out to no one at school","(2) Agree"
"518",NA,"(1) Younger",4,"(4) Out to a few people at school","(3) Disagree"
"519",18,"(1) Younger",4,"(4) Out to a few people at school","(2) Agree"
"520",21,"(2) Middle",1,"(5) Out to no one at school","(3) Disagree"
"521",21,"(3) Older",4,"(5) Out to no one at school","(2) Agree"
"522",20,"(3) Older",4,"(5) Out to no one at school","(4) Disagree strongly"
"523",29,"(3) Older",4,"(5) Out to no one at school","(3) Disagree"
"524",18,"(2) Middle",4,"(5) Out to no one at school","(1) Agree strongly"
"525",NA,"(2) Middle",2,"(4) Out to a few people at school","(2) Agree"
"526",NA,"(1) Younger",4,"(5) Out to no one at school","(3) Disagree"
"527",17,"(2) Middle",4,"(5) Out to no one at school","(2) Agree"
"528",NA,"(1) Younger",4,"(1) Out to everyone at school","(3) Disagree"
"529",21,"(1) Younger",4,"(5) Out to no one at school","(4) Disagree strongly"
"530",20,"(2) Middle",4,"(5) Out to no one at school","(2) Agree"
"531",13,"(3) Older",3,"(1) Out to everyone at school","(3) Disagree"
"532",28,"(2) Middle",4,"(5) Out to no one at school","(2) Agree"
"533",39,"(3) Older",4,"(5) Out to no one at school","(2) Agree"
"534",20,"(2) Middle",4,"(5) Out to no one at school","(2) Agree"
"535",18,"(3) Older",4,"(5) Out to no one at school","(3) Disagree"
"536",20,"(2) Middle",4,"(5) Out to no one at school","(3) Disagree"
"537",25,"(3) Older",2,"(5) Out to no one at school","(3) Disagree"
"538",36,"(2) Middle",4,"(5) Out to no one at school","(2) Agree"
"539",20,"(1) Younger",4,"(4) Out to a few people at school","(2) Agree"
"540",NA,"(2) Middle",4,"(5) Out to no one at school","(3) Disagree"
"541",16,"(1) Younger",4,"(3) Out to some people at school","(3) Disagree"
"542",17,"(1) Younger",4,"(1) Out to everyone at school","(1) Agree strongly"
"543",20,"(1) Younger",4,"(3) Out to some people at school","(2) Agree"
"544",NA,"(2) Middle",1,"(5) Out to no one at school","(4) Disagree strongly"
"545",21,"(1) Younger",3,"(5) Out to no one at school","(2) Agree"
"546",18,"(3) Older",4,"(5) Out to no one at school","(3) Disagree"
"547",18,"(1) Younger",4,"(3) Out to some people at school","(1) Agree strongly"
"548",22,"(1) Younger",4,"(5) Out to no one at school","(2) Agree"
"549",18,"(2) Middle",4,"(5) Out to no one at school","(1) Agree strongly"
"550",36,"(2) Middle",4,"(5) Out to no one at school","(3) Disagree"
"551",NA,"(3) Older",1,"(5) Out to no one at school","(1) Agree strongly"
"552",34,"(3) Older",4,"(5) Out to no one at school","(1) Agree strongly"
"553",15,"(1) Younger",2,"(1) Out to everyone at school","(2) Agree"
"554",30,"(2) Middle",4,"(5) Out to no one at school","(2) Agree"
"555",35,"(2) Middle",4,"(1) Out to everyone at school","(4) Disagree strongly"
"556",21,"(2) Middle",4,"(5) Out to no one at school","(4) Disagree strongly"
"557",15,"(1) Younger",2,"(1) Out to everyone at school","(2) Agree"
"558",19,"(1) Younger",4,"(5) Out to no one at school","(2) Agree"
"559",56,"(3) Older",4,"(5) Out to no one at school","(3) Disagree"
"560",16,"(2) Middle",2,"(4) Out to a few people at school","(2) Agree"
"561",18,"(3) Older",1,"(4) Out to a few people at school","(2) Agree"
"562",20,"(1) Younger",1,"(5) Out to no one at school","(3) Disagree"
"563",NA,"(1) Younger",4,"(5) Out to no one at school","(2) Agree"
"564",NA,"(3) Older",4,"(5) Out to no one at school","(3) Disagree"
"565",16,"(1) Younger",3,"(1) Out to everyone at school","(1) Agree strongly"
"566",16,"(3) Older",4,"(3) Out to some people at school","(3) Disagree"
"567",17,"(3) Older",4,"(2) Out to most people at school","(2) Agree"
"568",24,"(3) Older",2,"(5) Out to no one at school","(2) Agree"
"569",35,"(3) Older",4,"(5) Out to no one at school","(3) Disagree"
"570",20,"(3) Older",2,"(5) Out to no one at school","(2) Agree"
"571",21,"(1) Younger",4,"(5) Out to no one at school","(4) Disagree strongly"
"572",38,"(2) Middle",4,"(5) Out to no one at school","(4) Disagree strongly"
"573",21,"(3) Older",1,"(5) Out to no one at school","(4) Disagree strongly"
"574",17,"(1) Younger",4,"(4) Out to a few people at school","(2) Agree"
"575",24,"(1) Younger",4,"(5) Out to no one at school","(4) Disagree strongly"
"576",17,"(1) Younger",4,"(1) Out to everyone at school","(2) Agree"
"577",NA,"(3) Older",1,"(5) Out to no one at school","(3) Disagree"
"578",20,"(3) Older",4,"(5) Out to no one at school","(3) Disagree"
"579",NA,"(1) Younger",4,"(4) Out to a few people at school","(3) Disagree"
"580",NA,"(1) Younger",4,"(5) Out to no one at school","(4) Disagree strongly"
"581",15,"(1) Younger",4,"(5) Out to no one at school","(2) Agree"
"582",16,"(1) Younger",1,"(2) Out to most people at school","(2) Agree"
"583",20,"(1) Younger",4,"(5) Out to no one at school","(2) Agree"
"584",32,"(3) Older",4,"(4) Out to a few people at school","(2) Agree"
"585",23,"(3) Older",4,"(5) Out to no one at school","(3) Disagree"
"586",20,"(3) Older",2,"(5) Out to no one at school","(1) Agree strongly"
"587",48,"(3) Older",4,"(5) Out to no one at school","(1) Agree strongly"
"588",31,"(2) Middle",4,"(5) Out to no one at school","(3) Disagree"
"589",16,"(1) Younger",2,"(1) Out to everyone at school","(2) Agree"
"590",14,"(1) Younger",1,"(4) Out to a few people at school","(3) Disagree"
"591",34,"(3) Older",4,"(5) Out to no one at school","(2) Agree"
"592",15,"(1) Younger",1,"(1) Out to everyone at school","(1) Agree strongly"
"593",18,"(1) Younger",2,"(1) Out to everyone at school","(1) Agree strongly"
"594",NA,"(1) Younger",1,"(5) Out to no one at school","(2) Agree"
"595",18,"(1) Younger",1,"(5) Out to no one at school","(3) Disagree"
"596",28,"(3) Older",4,"(5) Out to no one at school","(3) Disagree"
"597",NA,"(3) Older",4,"(5) Out to no one at school","(2) Agree"
"598",18,"(1) Younger",3,"(5) Out to no one at school","(2) Agree"
"599",36,"(3) Older",4,"(5) Out to no one at school","(3) Disagree"
"600",NA,"(1) Younger",4,"(5) Out to no one at school","(3) Disagree"
"601",31,"(2) Middle",4,"(5) Out to no one at school","(4) Disagree strongly"
"602",20,"(1) Younger",4,"(5) Out to no one at school","(2) Agree"
"603",NA,"(2) Middle",2,"(4) Out to a few people at school","(2) Agree"
"604",NA,"(1) Younger",1,"(5) Out to no one at school","(1) Agree strongly"
"605",30,"(3) Older",1,"(5) Out to no one at school","(3) Disagree"
"606",NA,"(1) Younger",4,"(4) Out to a few people at school","(3) Disagree"
"607",19,"(2) Middle",4,"(4) Out to a few people at school","(2) Agree"
"608",22,"(2) Middle",4,"(5) Out to no one at school","(3) Disagree"
"609",16,"(2) Middle",4,"(4) Out to a few people at school","(3) Disagree"
"610",21,"(1) Younger",4,"(5) Out to no one at school","(2) Agree"
"611",25,"(2) Middle",4,"(5) Out to no one at school","(3) Disagree"
"612",30,"(2) Middle",1,"(5) Out to no one at school","(3) Disagree"
"613",15,"(1) Younger",2,"(1) Out to everyone at school","(1) Agree strongly"
"614",15,"(3) Older",1,"(5) Out to no one at school","(3) Disagree"
"615",35,"(3) Older",4,"(5) Out to no one at school","(4) Disagree strongly"
"616",21,"(3) Older",1,"(5) Out to no one at school","(1) Agree strongly"
"617",16,"(1) Younger",4,"(1) Out to everyone at school","(3) Disagree"
"618",18,"(3) Older",1,"(5) Out to no one at school","(2) Agree"
"619",32,"(3) Older",1,"(5) Out to no one at school","(3) Disagree"
"620",19,"(2) Middle",1,"(5) Out to no one at school","(4) Disagree strongly"
"621",21,"(2) Middle",4,"(5) Out to no one at school","(3) Disagree"
"622",35,"(2) Middle",4,"(5) Out to no one at school","(3) Disagree"
"623",18,"(2) Middle",1,"(5) Out to no one at school","(2) Agree"
"624",NA,"(1) Younger",4,"(4) Out to a few people at school","(3) Disagree"
"625",37,"(3) Older",4,"(5) Out to no one at school","(4) Disagree strongly"
"626",24,"(3) Older",4,"(5) Out to no one at school","(4) Disagree strongly"
"627",26,"(2) Middle",4,"(4) Out to a few people at school","(2) Agree"
"628",18,"(1) Younger",4,"(5) Out to no one at school","(4) Disagree strongly"
"629",16,"(1) Younger",1,"(2) Out to most people at school","(2) Agree"
"630",22,"(3) Older",1,"(5) Out to no one at school","(2) Agree"
"631",16,"(1) Younger",3,"(3) Out to some people at school","(2) Agree"
"632",35,"(3) Older",4,"(5) Out to no one at school","(1) Agree strongly"
"633",22,"(1) Younger",4,"(4) Out to a few people at school","(2) Agree"
"634",NA,"(1) Younger",2,"(1) Out to everyone at school","(1) Agree strongly"
"635",14,"(1) Younger",4,"(1) Out to everyone at school","(2) Agree"
"636",18,"(1) Younger",3,"(4) Out to a few people at school","(2) Agree"
"637",18,"(3) Older",1,"(5) Out to no one at school","(4) Disagree strongly"
"638",NA,"(3) Older",4,"(5) Out to no one at school","(2) Agree"
"639",NA,"(1) Younger",4,"(4) Out to a few people at school","(3) Disagree"
"640",NA,"(1) Younger",4,"(4) Out to a few people at school","(3) Disagree"
"641",17,"(1) Younger",2,"(1) Out to everyone at school","(2) Agree"
"642",17,"(1) Younger",4,"(1) Out to everyone at school","(3) Disagree"
"643",NA,"(1) Younger",4,"(5) Out to no one at school","(3) Disagree"
"644",23,"(2) Middle",3,"(1) Out to everyone at school","(3) Disagree"
"645",NA,"(1) Younger",4,"(5) Out to no one at school","(3) Disagree"
"646",20,"(3) Older",1,"(5) Out to no one at school","(3) Disagree"
"647",19,"(2) Middle",4,"(5) Out to no one at school","(2) Agree"
"648",38,"(2) Middle",4,"(5) Out to no one at school","(3) Disagree"
"649",NA,"(1) Younger",4,"(4) Out to a few people at school","(1) Agree strongly"
"650",34,"(3) Older",4,"(5) Out to no one at school","(3) Disagree"
"651",18,"(2) Middle",4,"(5) Out to no one at school","(3) Disagree"
"652",57,"(3) Older",1,"(5) Out to no one at school","(2) Agree"
"653",17,"(2) Middle",2,"(2) Out to most people at school","(1) Agree strongly"
"654",18,"(1) Younger",1,"(2) Out to most people at school","(3) Disagree"
"655",21,"(1) Younger",4,"(5) Out to no one at school","(3) Disagree"
"656",24,"(3) Older",4,"(5) Out to no one at school","(2) Agree"
"657",19,"(1) Younger",4,"(5) Out to no one at school","(3) Disagree"
"658",NA,"(1) Younger",4,"(4) Out to a few people at school","(2) Agree"
"659",38,"(3) Older",4,"(5) Out to no one at school","(2) Agree"
"660",20,"(3) Older",1,"(5) Out to no one at school","(1) Agree strongly"
"661",21,"(3) Older",2,"(5) Out to no one at school","(2) Agree"
"662",22,"(1) Younger",4,"(4) Out to a few people at school","(3) Disagree"
"663",19,"(1) Younger",4,"(4) Out to a few people at school","(1) Agree strongly"
"664",18,"(1) Younger",4,"(4) Out to a few people at school","(2) Agree"
"665",19,"(1) Younger",4,"(5) Out to no one at school","(3) Disagree"
"666",NA,"(3) Older",4,"(5) Out to no one at school","(4) Disagree strongly"
"667",15,"(1) Younger",2,"(4) Out to a few people at school","(2) Agree"
"668",20,"(2) Middle",2,"(3) Out to some people at school","(4) Disagree strongly"
"669",18,"(1) Younger",4,"(2) Out to most people at school","(3) Disagree"
"670",23,"(1) Younger",1,"(5) Out to no one at school","(2) Agree"
"671",22,"(3) Older",1,"(5) Out to no one at school","(2) Agree"
"672",30,"(3) Older",4,"(4) Out to a few people at school","(3) Disagree"
"673",16,"(1) Younger",4,"(3) Out to some people at school","(2) Agree"
"674",50,"(3) Older",4,"(5) Out to no one at school","(2) Agree"
"675",18,"(1) Younger",4,"(5) Out to no one at school","(2) Agree"
"676",18,"(3) Older",3,"(5) Out to no one at school","(1) Agree strongly"
"677",20,"(1) Younger",4,"(5) Out to no one at school","(3) Disagree"
"678",20,"(2) Middle",4,"(5) Out to no one at school","(2) Agree"
"679",16,"(3) Older",4,"(5) Out to no one at school","(2) Agree"
"680",19,"(1) Younger",4,"(5) Out to no one at school","(3) Disagree"
"681",19,"(1) Younger",4,"(4) Out to a few people at school","(2) Agree"
"682",18,"(1) Younger",4,"(4) Out to a few people at school","(2) Agree"
"683",16,"(2) Middle",1,"(1) Out to everyone at school","(3) Disagree"
"684",22,"(2) Middle",2,"(4) Out to a few people at school","(3) Disagree"
"685",NA,"(1) Younger",4,"(4) Out to a few people at school","(3) Disagree"
"686",NA,"(1) Younger",4,"(5) Out to no one at school","(4) Disagree strongly"
"687",NA,"(1) Younger",4,"(4) Out to a few people at school","(2) Agree"
"688",11,"(1) Younger",1,"(1) Out to everyone at school","(1) Agree strongly"
"689",12,"(1) Younger",1,"(1) Out to everyone at school","(3) Disagree"
"690",NA,"(1) Younger",4,"(5) Out to no one at school","(1) Agree strongly"
"691",22,"(3) Older",4,"(5) Out to no one at school","(4) Disagree strongly"
"692",NA,"(1) Younger",4,"(1) Out to everyone at school","(2) Agree"
"693",17,"(1) Younger",2,"(4) Out to a few people at school","(3) Disagree"
"694",32,"(2) Middle",1,"(5) Out to no one at school","(1) Agree strongly"
"695",20,"(3) Older",1,"(5) Out to no one at school","(2) Agree"
"696",16,"(1) Younger",1,"(1) Out to everyone at school","(1) Agree strongly"
"697",NA,"(1) Younger",2,"(5) Out to no one at school","(2) Agree"
"698",NA,"(2) Middle",4,"(5) Out to no one at school","(4) Disagree strongly"
"699",NA,"(1) Younger",4,"(2) Out to most people at school","(2) Agree"
"700",22,"(1) Younger",4,"(5) Out to no one at school","(2) Agree"
"701",16,"(1) Younger",3,"(3) Out to some people at school","(1) Agree strongly"
"702",24,"(1) Younger",1,"(4) Out to a few people at school","(3) Disagree"
"703",20,"(2) Middle",4,"(5) Out to no one at school","(1) Agree strongly"
"704",43,"(3) Older",4,"(5) Out to no one at school","(3) Disagree"
"705",18,"(1) Younger",2,"(4) Out to a few people at school","(1) Agree strongly"
"706",19,"(2) Middle",2,"(5) Out to no one at school","(2) Agree"
"707",16,"(1) Younger",2,"(5) Out to no one at school","(2) Agree"
"708",NA,"(1) Younger",4,"(5) Out to no one at school","(4) Disagree strongly"
"709",15,"(1) Younger",4,"(3) Out to some people at school","(3) Disagree"
"710",20,"(1) Younger",2,"(4) Out to a few people at school","(2) Agree"
"711",34,"(2) Middle",4,"(5) Out to no one at school","(4) Disagree strongly"
"712",22,"(1) Younger",4,"(5) Out to no one at school","(4) Disagree strongly"
"713",21,"(1) Younger",4,"(5) Out to no one at school","(2) Agree"
"714",16,"(1) Younger",1,"(4) Out to a few people at school","(1) Agree strongly"
"715",NA,"(3) Older",4,"(5) Out to no one at school","(4) Disagree strongly"
"716",NA,"(3) Older",4,"(4) Out to a few people at school","(3) Disagree"
"717",NA,"(2) Middle",1,"(5) Out to no one at school","(2) Agree"
"718",33,"(3) Older",4,"(5) Out to no one at school","(2) Agree"
"719",NA,"(1) Younger",4,"(5) Out to no one at school","(2) Agree"
"720",18,"(1) Younger",4,"(3) Out to some people at school","(4) Disagree strongly"
"721",21,"(2) Middle",2,"(4) Out to a few people at school","(2) Agree"
"722",NA,"(2) Middle",4,"(5) Out to no one at school","(2) Agree"
"723",37,"(3) Older",4,"(5) Out to no one at school","(3) Disagree"
"724",15,"(1) Younger",2,"(1) Out to everyone at school","(1) Agree strongly"
"725",24,"(3) Older",2,"(5) Out to no one at school","(2) Agree"
"726",16,"(1) Younger",4,"(1) Out to everyone at school","(3) Disagree"
"727",17,"(1) Younger",1,"(1) Out to everyone at school","(4) Disagree strongly"
"728",23,"(3) Older",3,"(5) Out to no one at school","(2) Agree"
"729",21,"(1) Younger",4,"(5) Out to no one at school","(3) Disagree"
"730",15,"(2) Middle",2,"(5) Out to no one at school","(1) Agree strongly"
"731",21,"(3) Older",4,"(5) Out to no one at school","(2) Agree"
"732",20,"(3) Older",1,"(5) Out to no one at school","(2) Agree"
"733",30,"(3) Older",4,NA,"(3) Disagree"
"734",35,"(3) Older",4,"(5) Out to no one at school","(2) Agree"
"735",22,"(3) Older",1,"(5) Out to no one at school","(2) Agree"
"736",30,"(3) Older",4,"(5) Out to no one at school","(2) Agree"
"737",17,"(1) Younger",4,"(5) Out to no one at school","(2) Agree"
"738",27,"(3) Older",4,"(5) Out to no one at school","(2) Agree"
"739",47,"(3) Older",4,"(5) Out to no one at school","(2) Agree"
"740",18,"(3) Older",4,"(5) Out to no one at school","(4) Disagree strongly"
"741",NA,"(1) Younger",4,"(4) Out to a few people at school","(3) Disagree"
"742",27,"(3) Older",3,"(5) Out to no one at school","(1) Agree strongly"
"743",21,"(3) Older",2,"(5) Out to no one at school","(3) Disagree"
"744",NA,"(2) Middle",4,"(5) Out to no one at school","(3) Disagree"
"745",26,"(3) Older",4,"(5) Out to no one at school","(2) Agree"
"746",NA,"(1) Younger",1,"(2) Out to most people at school","(2) Agree"
"747",12,"(2) Middle",1,"(3) Out to some people at school","(2) Agree"
"748",15,"(1) Younger",1,"(2) Out to most people at school","(2) Agree"
"749",17,"(3) Older",4,"(5) Out to no one at school","(3) Disagree"
"750",27,"(3) Older",4,"(5) Out to no one at school","(2) Agree"
"751",23,"(2) Middle",4,"(5) Out to no one at school","(2) Agree"
"752",24,"(2) Middle",4,"(5) Out to no one at school","(2) Agree"
"753",12,"(2) Middle",1,"(5) Out to no one at school","(2) Agree"
"754",NA,"(2) Middle",4,"(5) Out to no one at school","(2) Agree"
"755",22,"(2) Middle",2,"(5) Out to no one at school","(1) Agree strongly"
"756",20,"(1) Younger",4,"(5) Out to no one at school","(1) Agree strongly"
"757",21,"(3) Older",4,"(5) Out to no one at school","(2) Agree"
"758",40,"(3) Older",1,"(5) Out to no one at school","(2) Agree"
"759",13,"(2) Middle",4,"(1) Out to everyone at school","(4) Disagree strongly"
"760",17,"(1) Younger",2,"(3) Out to some people at school","(2) Agree"
"761",45,"(3) Older",4,"(5) Out to no one at school","(2) Agree"
"762",16,"(2) Middle",1,"(1) Out to everyone at school","(2) Agree"
"763",19,"(2) Middle",1,"(5) Out to no one at school","(3) Disagree"
"764",NA,"(3) Older",4,NA,"(3) Disagree"
"765",18,"(2) Middle",4,"(5) Out to no one at school","(2) Agree"
"766",NA,"(2) Middle",4,"(5) Out to no one at school","(3) Disagree"
"767",NA,"(1) Younger",4,"(5) Out to no one at school","(3) Disagree"
"768",15,"(2) Middle",4,"(1) Out to everyone at school","(3) Disagree"
"769",18,"(2) Middle",4,"(5) Out to no one at school","(3) Disagree"
"770",26,"(2) Middle",4,"(5) Out to no one at school","(1) Agree strongly"
"771",35,"(3) Older",4,"(4) Out to a few people at school","(2) Agree"
