"","W1Q50","COHORT","Bullied","W1Q52","W1Q53"
"88",22,"(3) Older",2,"(4) Out to a few people at school","(2) Agree"
"89",17,"(3) Older",2,"(4) Out to a few people at school","(3) Disagree"
"90",21,"(3) Older",4,"(5) Out to no one at school","(3) Disagree"
"91",NA,"(1) Younger",1,"(4) Out to a few people at school","(2) Agree"
"92",NA,"(3) Older",4,"(5) Out to no one at school","(3) Disagree"
"93",28,"(3) Older",4,"(5) Out to no one at school","(3) Disagree"
"94",14,"(1) Younger",2,"(2) Out to most people at school","(1) Agree strongly"
"95",18,"(2) Middle",4,"(5) Out to no one at school","(2) Agree"
"96",23,"(3) Older",1,"(5) Out to no one at school","(2) Agree"
"97",NA,"(1) Younger",4,"(4) Out to a few people at school","(2) Agree"
"98",21,"(3) Older",2,"(5) Out to no one at school","(2) Agree"
"99",21,"(2) Middle",4,"(5) Out to no one at school","(2) Agree"
"100",20,"(1) Younger",4,"(3) Out to some people at school","(2) Agree"
"101",16,"(1) Younger",1,"(2) Out to most people at school","(1) Agree strongly"
"102",22,"(3) Older",1,"(5) Out to no one at school","(2) Agree"
"103",21,"(2) Middle",2,"(5) Out to no one at school","(2) Agree"
"104",NA,"(3) Older",4,"(5) Out to no one at school","(3) Disagree"
"105",18,"(1) Younger",2,"(1) Out to everyone at school","(4) Disagree strongly"
"106",22,"(3) Older",1,"(5) Out to no one at school","(2) Agree"
"107",32,"(3) Older",4,"(5) Out to no one at school","(2) Agree"
"108",19,"(2) Middle",4,"(5) Out to no one at school","(1) Agree strongly"
"109",17,"(3) Older",4,"(5) Out to no one at school","(2) Agree"
"110",14,"(1) Younger",4,"(5) Out to no one at school","(2) Agree"
"111",21,"(2) Middle",4,"(5) Out to no one at school","(3) Disagree"
"112",18,"(1) Younger",4,"(3) Out to some people at school","(1) Agree strongly"
"113",20,"(3) Older",3,"(5) Out to no one at school","(3) Disagree"
"114",NA,"(3) Older",4,"(5) Out to no one at school","(3) Disagree"
"115",NA,"(1) Younger",4,"(5) Out to no one at school","(2) Agree"
"116",10,"(2) Middle",4,"(4) Out to a few people at school","(4) Disagree strongly"
"117",15,"(1) Younger",4,"(2) Out to most people at school","(2) Agree"
"118",26,"(3) Older",2,"(5) Out to no one at school","(2) Agree"
"119",21,"(3) Older",1,"(5) Out to no one at school","(2) Agree"
"120",27,"(3) Older",4,NA,"(3) Disagree"
"121",NA,"(1) Younger",4,"(3) Out to some people at school","(2) Agree"
"122",15,"(1) Younger",1,"(3) Out to some people at school","(1) Agree strongly"
"123",18,"(1) Younger",4,"(4) Out to a few people at school","(2) Agree"
"124",NA,"(1) Younger",4,"(5) Out to no one at school","(4) Disagree strongly"
"125",33,"(2) Middle",4,"(5) Out to no one at school","(2) Agree"
"126",42,"(3) Older",4,"(5) Out to no one at school","(1) Agree strongly"
"127",24,"(2) Middle",1,"(5) Out to no one at school","(3) Disagree"
"128",21,"(3) Older",2,"(3) Out to some people at school","(2) Agree"
"129",14,"(2) Middle",1,"(2) Out to most people at school","(1) Agree strongly"
"130",NA,"(1) Younger",4,"(4) Out to a few people at school","(2) Agree"
"131",25,"(3) Older",1,"(5) Out to no one at school","(2) Agree"
"132",18,"(2) Middle",4,"(5) Out to no one at school","(2) Agree"
"133",23,"(1) Younger",2,"(3) Out to some people at school","(2) Agree"
"134",22,"(2) Middle",4,"(5) Out to no one at school","(2) Agree"
"135",12,"(1) Younger",3,"(1) Out to everyone at school","(1) Agree strongly"
"136",NA,"(3) Older",4,"(5) Out to no one at school","(2) Agree"
"137",24,"(1) Younger",2,"(5) Out to no one at school","(3) Disagree"
"138",18,"(1) Younger",1,"(5) Out to no one at school","(1) Agree strongly"
"139",18,"(3) Older",2,"(4) Out to a few people at school","(3) Disagree"
"140",28,"(3) Older",4,"(5) Out to no one at school","(3) Disagree"
"141",38,"(3) Older",4,"(5) Out to no one at school","(2) Agree"
"142",NA,"(1) Younger",1,"(5) Out to no one at school","(2) Agree"
"143",19,"(1) Younger",4,"(1) Out to everyone at school","(1) Agree strongly"
"144",22,"(1) Younger",4,"(5) Out to no one at school","(4) Disagree strongly"
"145",18,"(1) Younger",1,"(3) Out to some people at school","(2) Agree"
"146",25,"(1) Younger",4,"(5) Out to no one at school","(2) Agree"
"147",30,"(3) Older",4,"(5) Out to no one at school","(1) Agree strongly"
"148",36,"(3) Older",2,"(5) Out to no one at school","(4) Disagree strongly"
"149",NA,"(3) Older",4,"(5) Out to no one at school","(4) Disagree strongly"
"150",19,"(2) Middle",4,"(5) Out to no one at school","(3) Disagree"
"151",21,"(1) Younger",4,"(5) Out to no one at school","(2) Agree"
"152",38,"(3) Older",4,"(5) Out to no one at school","(3) Disagree"
"153",25,"(3) Older",4,"(5) Out to no one at school","(1) Agree strongly"
"154",24,"(2) Middle",4,"(5) Out to no one at school","(2) Agree"
"155",32,"(2) Middle",4,"(5) Out to no one at school","(2) Agree"
"156",17,"(2) Middle",4,"(3) Out to some people at school","(2) Agree"
"157",NA,"(2) Middle",4,"(5) Out to no one at school","(3) Disagree"
"158",51,"(3) Older",4,"(5) Out to no one at school","(3) Disagree"
"159",40,"(3) Older",4,"(5) Out to no one at school","(4) Disagree strongly"
"160",32,"(3) Older",4,"(5) Out to no one at school","(3) Disagree"
"161",17,"(3) Older",2,"(1) Out to everyone at school","(1) Agree strongly"
"162",12,"(1) Younger",2,"(1) Out to everyone at school","(2) Agree"
"163",21,"(3) Older",4,"(5) Out to no one at school","(1) Agree strongly"
"164",20,"(3) Older",4,"(4) Out to a few people at school","(3) Disagree"
"165",31,"(2) Middle",4,"(5) Out to no one at school","(2) Agree"
"166",NA,"(1) Younger",4,"(1) Out to everyone at school","(2) Agree"
"167",23,"(1) Younger",4,"(5) Out to no one at school","(2) Agree"
"168",19,"(3) Older",4,"(4) Out to a few people at school","(2) Agree"
"169",18,"(1) Younger",1,"(5) Out to no one at school","(1) Agree strongly"
"170",NA,"(3) Older",1,"(5) Out to no one at school","(3) Disagree"
"171",30,"(3) Older",4,"(5) Out to no one at school","(1) Agree strongly"
"172",14,"(1) Younger",1,"(1) Out to everyone at school","(3) Disagree"
"173",28,"(3) Older",2,"(5) Out to no one at school","(1) Agree strongly"
"174",24,"(3) Older",3,"(5) Out to no one at school","(2) Agree"
"175",24,"(3) Older",1,"(5) Out to no one at school","(2) Agree"
"176",14,"(1) Younger",3,"(2) Out to most people at school","(2) Agree"
"177",23,"(1) Younger",2,"(5) Out to no one at school","(2) Agree"
"178",21,"(3) Older",4,"(5) Out to no one at school","(1) Agree strongly"
"179",27,"(3) Older",4,"(5) Out to no one at school","(2) Agree"
"180",NA,"(2) Middle",3,NA,"(3) Disagree"
"181",15,"(1) Younger",4,"(4) Out to a few people at school","(3) Disagree"
"182",NA,"(3) Older",4,"(5) Out to no one at school","(3) Disagree"
"183",NA,"(1) Younger",4,"(4) Out to a few people at school","(3) Disagree"
"184",26,"(3) Older",4,"(4) Out to a few people at school","(2) Agree"
"185",21,"(1) Younger",1,"(4) Out to a few people at school","(3) Disagree"
"186",41,"(3) Older",4,"(5) Out to no one at school",NA
"187",NA,"(1) Younger",4,"(1) Out to everyone at school","(2) Agree"
"188",21,"(1) Younger",4,"(5) Out to no one at school","(2) Agree"
"189",29,"(3) Older",3,"(5) Out to no one at school","(2) Agree"
"190",35,"(3) Older",2,"(5) Out to no one at school","(2) Agree"
"191",NA,"(1) Younger",4,"(5) Out to no one at school","(2) Agree"
"192",18,"(1) Younger",4,"(4) Out to a few people at school","(1) Agree strongly"
"193",18,"(3) Older",4,"(5) Out to no one at school","(2) Agree"
"194",12,"(1) Younger",4,"(1) Out to everyone at school","(3) Disagree"
"195",26,"(2) Middle",2,"(5) Out to no one at school","(2) Agree"
"196",NA,"(3) Older",4,"(4) Out to a few people at school","(2) Agree"
"197",18,"(1) Younger",4,"(2) Out to most people at school","(3) Disagree"
"198",35,"(3) Older",4,"(5) Out to no one at school","(3) Disagree"
"199",NA,"(1) Younger",4,"(4) Out to a few people at school","(2) Agree"
"200",15,"(1) Younger",1,"(1) Out to everyone at school","(2) Agree"
"201",25,"(2) Middle",1,"(5) Out to no one at school","(1) Agree strongly"
"202",13,"(1) Younger",4,"(5) Out to no one at school","(3) Disagree"
"203",20,"(1) Younger",2,"(5) Out to no one at school","(1) Agree strongly"
"204",21,"(1) Younger",4,NA,"(4) Disagree strongly"
"205",NA,"(2) Middle",4,NA,NA
"206",13,"(3) Older",4,"(3) Out to some people at school","(2) Agree"
"207",53,"(3) Older",4,"(5) Out to no one at school","(2) Agree"
"208",22,"(2) Middle",1,"(5) Out to no one at school","(2) Agree"
"209",29,"(2) Middle",4,"(5) Out to no one at school","(3) Disagree"
"210",15,"(1) Younger",2,"(2) Out to most people at school","(3) Disagree"
"211",20,"(3) Older",4,"(5) Out to no one at school","(2) Agree"
"212",14,"(1) Younger",1,"(2) Out to most people at school","(3) Disagree"
"213",34,"(3) Older",4,"(5) Out to no one at school","(2) Agree"
"214",21,"(2) Middle",4,"(5) Out to no one at school","(2) Agree"
"215",NA,"(1) Younger",4,"(5) Out to no one at school","(3) Disagree"
"216",NA,"(1) Younger",4,"(5) Out to no one at school","(3) Disagree"
"217",20,"(1) Younger",1,"(5) Out to no one at school","(3) Disagree"
"218",29,"(3) Older",4,"(5) Out to no one at school","(2) Agree"
"219",12,"(1) Younger",4,"(5) Out to no one at school","(1) Agree strongly"
"220",18,"(1) Younger",2,"(3) Out to some people at school","(2) Agree"
"221",NA,"(1) Younger",2,"(2) Out to most people at school","(3) Disagree"
"222",25,"(3) Older",4,"(5) Out to no one at school","(3) Disagree"
"223",19,"(1) Younger",1,"(5) Out to no one at school","(2) Agree"
"224",28,"(3) Older",4,"(5) Out to no one at school","(3) Disagree"
"225",25,"(2) Middle",4,"(5) Out to no one at school","(2) Agree"
"226",43,"(3) Older",4,"(5) Out to no one at school","(3) Disagree"
"227",21,"(3) Older",2,"(5) Out to no one at school","(3) Disagree"
"228",21,"(2) Middle",4,"(5) Out to no one at school","(2) Agree"
